code,kind,affects,label,meaning,evidence
CNT_NO_LENGTH,property,count,No length measurements,"The species was recorded for this haul but never length-measured, so only the reported total exists and there is nothing to reconstruct. Not a defect: SpecVal 4 and 7 describe exactly this.","ICES D2.2, SpeciesValidity table"
CNT_SF_MISSING,property,count,Raising factor absent,"SubFactor is missing, so the raised length frequency cannot be computed and n_haul is NA. ICES makes the field mandatory and instructs that a field with no information is submitted as -9; obus does not substitute 1.","field descriptions, HL SubsamplingFactor (mandatory); General Notes"
CNT_ARITH,intrinsic,count,Sub-unit arithmetic difference,"The two totals differ by less than one fish. A non-integer raising factor applied to integer counts cannot give an integer, while the reported total is one. Arithmetic, carrying no information about the data.",derived
CNT_SMALL_SYM,intrinsic,count,Small symmetric disagreement,"The two totals differ by one or two fish, and across the archive this band falls either way at close to a coin flip. Two independent counts of the same haul disagreeing slightly; neither table is wrong.",derived
CNT_LEN_HIGH,unexplained,count,Reconstructed total far higher,"The reconstructed total exceeds the reported one by more than 50 fish, the opposite direction to every other large-gap pattern. Concentrated in a few surveys. Not established.",derived
CNT_C_SMALL,intrinsic,count,Independent observations under DataType C,"DataType C reports a catch rate directly while the length frequency is a separately measured sample. They are two observations of a similar quantity and need not agree exactly. Named for what is observed, not for a proven mechanism in any individual record.","field descriptions, HH DataType C"
CNT_RAISE_LOST,suspect,count,Raising factor appears lost,"The reported total exceeds the reconstructed one by six or more fish with the factor recorded as 1, the pattern left when already-raised numbers are submitted with the factor reset. ICES documents this for Scottish data before DataType P existed. Prefer the reported total here.","pseudo-category memo, Background"
CNT_LEN_DUP,suspect,count,Duplicated length rows,"One or more length rows are exact duplicates within the haul and species, so the reconstructed total is inflated. Prefer the reported total here.",derived
CNT_DIRECTIONAL,unexplained,count,Directional disagreement,"The reported total exceeds the reconstructed one by 6-50 fish with a raising factor present. Strongly one-directional across the archive, so a mechanism is likely, but none is established. Neither total is known to be the right one.",derived
CNT_OTHER,unexplained,count,Unclassified disagreement,The two totals differ by a whole fish or more and the record matches none of the classified patterns.,derived
CNT_C_SUBSAMPLE_HIDDEN,property,count,Subsampling raised away under DataType C,"Under DataType C the submission arrives already raised to one hour and ICES instructs SubFactor to be reported as 1, so any on-board subsampling leaves no trace in the raising factor. ICES's NoMeas field (SubsampledNumber) does survive here, and on these records it is smaller than the back-computed catch -- the trace that subsampling did occur. Not a defect: it is the documented C convention. It is why n_measured is NA for these records, and it means n_haul rests on the submitter's own raising rather than on a factor obus can check.","DATRAS FAQ, ""DataType C"" block (SubFactor: ""report 1""; NoMeas: ""or report -9"")"
CNT_C_SUBFACTOR_CONFLICT,suspect,count,DataType C submitted with a raising factor,"DataType is C, which ICES instructs to be submitted already raised to one hour with SubFactor reported as 1, yet SubFactor is greater than 1. Across these records TotalNo never equals sum(HLNoAtLngt), equals sum(HLNoAtLngt) x SubFactor in 102 of 113 groups, and sum(HLNoAtLngt) equals NoMeas in 108 -- so HLNoAtLngt here is the measured subsample and the haul is shaped like DataType R while labelled C. obus applies both multipliers, following the DATRAS R package rather than ICES's own WKABSENS recipe; omitting SubFactor would understate these records by up to 167.9 times. Nothing else marks them: 35 of the 36 hauls carry HaulValidity V, and ICES's upload validation has a SubFactor range rule for DataType S and none for C. ICES's own CPUEL product settles which rule is right: all 36 hauls appear in it, and over 1,721 matched haul x species x length cells the median ratio of CPUEL's CPUE_number_per_hour to obus's two-multiplier figure is exactly 1.000, against 3.000 for a one-multiplier figure. So the ICES Data Centre applies both multipliers in production while publishing a recipe that applies one. Do not expect cell-level agreement to reach 100 percent when re-running this -- it is 55.3 percent, and the shortfall is a SECOND, documented difference rather than a multiplier disagreement. CPUEL additionally applies the BITS gear-conversion factors, which obus does not: cod only, TVS to TVL, 1.10 below 25 cm, 1.20 at 25-29 cm, 1.55 at 30 cm and above. All 839 Gadus morhua cells here carry a non-unit ratio while every other species is exactly 1.00, so the ratio tracks species, not SubFactor. That conversion multiplies both candidate figures equally and therefore cannot change which one CPUEL agrees with -- the median ratio is the statistic that carries the rule question, not the agreement rate. See data-raw/CHECK_cpuel_multiplier.R and vignette discrepancies D20 and D21.","DATRAS R package read_datras.R commit 880b553 (2023-04-11); WKDATR 2013 s3.2.2.1 DataType-Subfactor cross-check action; ICES CPUEL product (median ratio 1.000 over 1,721 cells on these hauls, 2026-09-07)"
CNT_SF_RESET,suspect,count,Raising factor reset to 1,"The record's own arithmetic implies a raising factor above 1 -- TotalNo divided by the sum of its own length rows -- while SubFactor is reported as 1 or below. This is the pattern left when already-raised numbers are submitted with the factor reset. Tested per submission unit (haul x species x sex x category), which is the grain TotalNo and SubFactor are reported at, with the DataType C hourly convention scaled back to fish first. Related to CNT_RAISE_LOST but not the same test: that one asks whether the two published tables agree, at haul x species, above a six-fish threshold; this one tests the submission against itself at its own grain. Reaching for ICES's own product does not escape this. CPUEL is built the same way -- length rows raised by the DECLARED SubFactor, never reconciled against TotalNo -- and on the records of this class that CPUEL covers it agrees with obus on 95.3 percent of 403 matched cells, median ratio 1.000. It publishes the same under-raised number. Moot for the bulk of them in any case: 99.9 percent of this flag is Can-Mar, and CPUEL covers only eight European surveys (BITS, EVHOE, IE-IGFS, NS-IBTS, ROCKALL, SCOROC, SCOWCGFS, SWC-IBTS), so ICES computes no CPUE product from Can-Mar at all. That is why nobody has found this: no product, no scrutiny. One caveat on that 95.3 percent: cell-level agreement is not expected to reach 100 even where nothing differs. CPUEL applies the BITS cod gear-conversion that obus does not (see CNT_C_SUBFACTOR_CONFLICT and vignette D20, D21), and it is a lagging batch product whose DateofCalculation spans 2018 to 2026. The median ratio of 1.000 is what carries the claim.","DATRAS FAQ, DataType R block (TotalNo = NoMeas x SubFactor); WKDATR 2013 s3.2.2.1"
CNT_SF_UNRECONCILED,unexplained,count,Length rows reconcile with neither total,"SubFactor is above 1, but TotalNo matches neither the sum of the length rows nor that sum raised by SubFactor. ICES's FAQ permits either reading of HLNoAtLngt -- 'TotalNo = Sum(HLNoAtLngt) or NoMeas = Sum(HLNoAtLngt)' -- and these records satisfy neither, so no raising is derivable from the record alone. DataType P is excluded from the test: under the pseudocategory convention the factor is category weight over sample weight and the identity does not apply, which would otherwise produce a large false positive (GB-SCT declares a median 2.07 against an implied 17.88).","DATRAS FAQ, HLNoAtLngt (both readings permitted); WKDATR 2013 s3.2.2.1 DataType-Subfactor cross-check"
WGT_CAT_REPEAT_P,property,weight,Category weight repeated across pseudocategories,"Under DataType P the raising factor is category weight divided by sample weight, so the category weight necessarily appears on every pseudocategory row of that category. This is the documented convention, not an error. obus deduplicates weight on the MAIN category under P, so w_haul and w_hour are correct here; the flag records that the submission carries the repetition.","ICES D2.2, DataType P worked example (category 2, 290.1 kg across pseudocategories 21 and 22)"
WGT_CAT_REPEAT_R,unexplained,weight,Repeated category weight under DataType R,"A weight repeated across category codes under DataType R, where ICES documents no sub-category convention. obus does NOT collapse these, so w_haul sums them. Whether that is right is unresolved: 135 of the 209 groups are a single vessel-year, and among the 29 where TotalNumber also differs some ties are implausible (two categories both exactly 9992 g) and some plausible (two tiny catches both 12 g). Worth 485,711 g in total. Treat w_haul here as uncertain, not as known-wrong.",derived
WGT_NONE,property,weight,No catch weight recorded,"No catch weight was reported for this species, so w_haul is NA rather than 0. Not weighed is not weighed nothing.",derived
REC_DUR_NONPOS,property,rate,Haul duration not positive,"HaulDuration is zero or negative, so any per-hour rate is undefined and is returned as NA. For DataType C, which reports a rate directly, it is the per-haul figure that is undefined instead.",derived
REC_DATATYPE_INVALID,property,both,Haul flagged invalid by DataType,"DataType is -9, the code for an invalid haul. Every such haul is independently flagged HaulValidity I in the archive.","vocabulary, HH DataType -9"
